ID,sex,Language,Name,Script,Family,Autotyp_Area,trial,Condition,match
DE_2026290,M,DE,German,roman,IE,Europe,2,l,TRUE
DE_2026502,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2026502,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2026608,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2026608,F,DE,German,roman,IE,Europe,2,r,TRUE
DE_2028933,M,DE,German,roman,IE,Europe,1,r,TRUE
DE_2028933,M,DE,German,roman,IE,Europe,2,l,TRUE
DE_2032454,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2032454,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2035082,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2035082,F,DE,German,roman,IE,Europe,2,r,TRUE
DE_2035188,M,DE,German,roman,IE,Europe,1,l,TRUE
DE_2035188,M,DE,German,roman,IE,Europe,2,r,TRUE
DE_2035314,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2035314,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2036644,M,DE,German,roman,IE,Europe,1,l,TRUE
DE_2036644,M,DE,German,roman,IE,Europe,2,r,TRUE
DE_2036752,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2036752,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2037056,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2037056,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2037869,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2037869,F,DE,German,roman,IE,Europe,2,r,TRUE
DE_2037989,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2037989,F,DE,German,roman,IE,Europe,2,r,TRUE
DE_2038461,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2038461,F,DE,German,roman,IE,Europe,2,r,TRUE
DE_2038972,M,DE,German,roman,IE,Europe,1,r,TRUE
DE_2038972,M,DE,German,roman,IE,Europe,2,l,TRUE
DE_2039334,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2039334,F,DE,German,roman,IE,Europe,2,r,TRUE
DE_2039440,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2039440,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2039750,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2039750,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2040180,F,DE,German,roman,IE,Europe,1,r,TRUE
